Авдей
Авксентий
Аким
Александр
Альвиан
Анастасий
Андриан
Анисим
Антонин
Арам
Арий
Арнольд
Артём
Аскольд
Ахмат
Авдий
Аггей
Аксён
Алексей
Альфред
Анатолий
Андрон
Антип
Антуан
Арвид
Аристарх
Арсен
Артемий
Атеист
Ахмет
Авенир
Адам
Алан
Альберт
Амос
Анвар
Анис
Антон
Аполлинарий
Аргент
Аркадий
Арсений
Артур
Афанасий
Аверкий
Адонис
Алевтин
Альбин
Ананий
Андрей
Анисий
Антоний
Аполлон
Арефий
Арлен
Артамон
Архип
Афиноген
Баграт
Бернард
Болеслав
Боян
Булат
Бажен
Бертольд
Боримир
Бронислав
Баян
Богдан
Борис
Бруно
Бенедикт
Боеслав
Борислав
Будимир
Вавила
Валериан
Варлам
Варфоломей
Вацлав
Велорий
Викентий
Вилиор
Вилорг
Винцент
Витольд
Владимир
Власий
Вольдемар
Вольт
Вячеслав
Вадим
Валерьян
Варлаам
Василий
Велимир
Венедикт
Виктор
Вилли
Виль
Виолен
Влад
Владислав
Воин
Вальдемар
Вольфрам
Валентин
Вальтер
Варлен
Василько
Велислав
Вениамин
Вилен
Вилор
Вильгельм
Виссарион
Владелин
Владлен
Воислав
Вольмир
Всеволод
Валерий
Ванадий
Вартан
Вахтанг
Велор
Вергилий
Вилий
Вилорий
Вильям
Виталий
Владилен
Влас
Володар
Волемир
Всемил
Гавриил
Гайдар
Габриель
Габриэль
Гаррий
Гаспар
Гвидон
Георгий
Геральд
Глеб
Горазд
Гурий
Густав
Гарибальди
Гарри
Генри
Геодар
Герт
Гертруд
Гранит
Григорий
Гаральд
Гарольд
Геннадий
Генрих
Геронтий
Геронт
Горислав
Горн
Галактион
Гелеон
Гектор
Гелиан
Герольд
Герасим
Гораций
Гордей
Галий
Гамлет
Гелий
Гений
Герман
Гермоген
Гордий
Горимир
Давыд
Давид
Декабрий
Демьян
Джой
Джон
Димитрий
Даниил
Данила
Дамир
Дементий
Дан
Даниар
Даниэль
Дар
Демократ
Джозеф
Дмитрий
Дорофей
Демид
Денис
Дионисий
Дональт
Дамиан
Дидим
Дин
Добрыня
Диомид
Джеральд
Дионис
Донат
Евгений
Егор
Евстафий
Евграф
Евсевий
Ермолай
Епифан
Ермак
Ермил
Евдоким
Евсей
Евлампий
Елизар
Елеазар
Евлогий
Елисей
Емилиан
Еремей
Ефим
Ефрем
Еруслан
Емельян
Ерофей
Ждан
Зиновий
Захар
Зот
